Date,Pollster,Answer,Percent
2023-05-12,Omnisis,no answer / don't know,20
2023-05-09,Deltapoll,Join,48
2023-05-09,Deltapoll,Stay out,38
2023-05-09,Deltapoll,no answer / don't know,14
2023-05-05,Omnisis,Join,50
2023-05-05,Omnisis,Stay out,30
2023-05-05,Omnisis,no answer / don't know,20
2023-05-04,BMG Research,Join,45
2023-05-04,BMG Research,Stay out,38
2023-05-04,BMG Research,no answer / don't know,17
2023-05-02,Deltapoll,Join,46
2023-05-02,Deltapoll,Stay out,37
2023-05-02,Deltapoll,no answer / don't know,17
2023-04-28,Omnisis,Join,48
2023-04-28,Omnisis,Stay out,31
2023-04-28,Omnisis,no answer / don't know,21
2023-04-20,Omnisis,Join,49
2023-04-20,Omnisis,Stay out,31
2023-04-20,Omnisis,no answer / don't know,20
2023-04-18,Redfield & Wilton,Join,56
2023-04-18,Redfield & Wilton,Stay out,37
2023-04-18,Redfield & Wilton,no answer / don't know,7
2023-04-17,Deltapoll,Join,48
2023-04-17,Deltapoll,Stay out,38
2023-04-17,Deltapoll,no answer / don't know,14
2023-04-13,Omnisis,Join,46
2023-04-13,Omnisis,Stay out,35
2023-04-13,Omnisis,no answer / don't know,19
2023-04-12,YouGov,Join,47
2023-04-12,YouGov,Stay out,33
2023-04-12,YouGov,no answer / don't know,20
2023-04-06,Omnisis,Join,46
2023-04-06,Omnisis,Stay out,34
2023-04-06,Omnisis,no answer / don't know,20
2023-04-03,Deltapoll,Join,48
2023-04-03,Deltapoll,Stay out,38
2023-04-03,Deltapoll,no answer / don't know,14
2023-03-29,Omnisis,Join,49
2023-03-29,Omnisis,Stay out,32
2023-03-29,Omnisis,no answer / don't know,19
2023-03-27,Deltapoll,Join,42
2023-03-27,Deltapoll,Stay out,41
2023-03-27,Deltapoll,no answer / don't know,17
2023-03-24,Omnisis,Join,48
2023-03-24,Omnisis,Stay out,33
2023-03-24,Omnisis,no answer / don't know,19
2023-03-20,Deltapoll,Join,47
2023-03-20,Deltapoll,Stay out,39
2023-03-20,Deltapoll,no answer / don't know,14
2023-03-16,BMG Research,Join,45
2023-03-16,BMG Research,Stay out,40
2023-03-16,BMG Research,no answer / don't know,15
2023-03-15,Omnisis,Join,48
2023-03-15,Omnisis,Stay out,32
2023-03-15,Omnisis,no answer / don't know,20
2023-03-13,Deltapoll,Join,48
2023-03-13,Deltapoll,Stay out,38
2023-03-13,Deltapoll,no answer / don't know,14
2023-03-10,Omnisis,Join,52
2023-03-10,Omnisis,Stay out,30
2023-03-10,Omnisis,no answer / don't know,18
2023-03-10,YouGov,Join,45
2023-03-10,YouGov,Stay out,33
2023-03-10,YouGov,no answer / don't know,22
2023-03-06,Deltapoll,Join,51
2023-03-06,Deltapoll,Stay out,37
2023-03-06,Deltapoll,no answer / don't know,12
2023-03-03,Omnisis,Join,47
2023-03-03,Omnisis,Stay out,32
2023-03-03,Omnisis,no answer / don't know,21
2023-02-27,Deltapoll,Join,48
2023-02-27,Deltapoll,Stay out,38
2023-02-27,Deltapoll,no answer / don't know,14
2023-02-26,Savanta,Join,51
2023-02-26,Savanta,Stay out,40
2023-02-26,Savanta,no answer / don't know,9
2023-02-23,BMG Research,Join,45
2023-02-23,BMG Research,Stay out,41
2023-02-23,BMG Research,no answer / don't know,14
2023-02-23,Omnisis,Join,43
2023-02-23,Omnisis,Stay out,35
2023-02-23,Omnisis,no answer / don't know,22
2023-02-20,Kantar,Join,38
2023-02-20,Kantar,Stay out,29
2023-02-20,Kantar,no answer / don't know,33
2023-02-20,Redfield & Wilton,Join,56
2023-02-20,Redfield & Wilton,Stay out,36
2023-02-20,Redfield & Wilton,no answer / don't know,8
2023-02-20,Deltapoll,Join,50
2023-02-20,Deltapoll,Stay out,38
2023-02-20,Deltapoll,no answer / don't know,12
2023-02-16,Omnisis,Join,49
2023-02-16,Omnisis,Stay out,33
2023-02-16,Omnisis,no answer / don't know,18
2023-02-15,YouGov,Join,48
2023-02-15,YouGov,Stay out,32
2023-02-15,YouGov,no answer / don't know,20
2023-02-13,Deltapoll,Join,52
2023-02-13,Deltapoll,Stay out,43
2023-02-13,Deltapoll,no answer / don't know,5
2023-02-10,Omnisis,Join,45
2023-02-10,Omnisis,Stay out,32
2023-02-10,Omnisis,no answer / don't know,23
2023-02-06,Deltapoll,Join,48
2023-02-06,Deltapoll,Stay out,45
2023-02-06,Deltapoll,no answer / don't know,7
2023-02-03,Omnisis,Join,49
2023-02-03,Omnisis,Stay out,30
2023-02-03,Omnisis,no answer / don't know,21
2023-01-27,Omnisis,Join,49
2023-01-27,Omnisis,Stay out,29
2023-01-27,Omnisis,no answer / don't know,22
2023-01-26,BMG Research,Join,43
2023-01-26,BMG Research,Stay out,41
2023-01-26,BMG Research,no answer / don't know,16
2023-01-21,Deltapoll,Join,47
2023-01-21,Deltapoll,Stay out,40
2023-01-21,Deltapoll,no answer / don't know,13
2023-01-20,Omnisis,Join,47
2023-01-20,Omnisis,Stay out,31
2023-01-20,Omnisis,no answer / don't know,22
2023-01-18,YouGov,Join,46
2023-01-18,YouGov,Stay out,35
2023-01-18,YouGov,no answer / don't know,19
2023-01-18,YouGov,Join,46
2023-01-18,YouGov,Stay out,33
2023-01-18,YouGov,no answer / don't know,21
2023-01-12,Omnisis,Join,44
2023-01-12,Omnisis,Stay out,31
2023-01-12,Omnisis,no answer / don't know,25
2023-01-06,Omnisis,Join,49
2023-01-06,Omnisis,Stay out,30
2023-01-06,Omnisis,no answer / don't know,21
2023-01-04,People Polling,Join,42
2023-01-04,People Polling,Stay out,33
2023-01-04,People Polling,no answer / don't know,25
2022-12-22,Omnisis,Join,45
2022-12-22,Omnisis,Stay out,32
2022-12-22,Omnisis,no answer / don't know,23
2022-12-18,Savanta,Join,51
2022-12-18,Savanta,Stay out,40
2022-12-18,Savanta,no answer / don't know,9
2022-12-16,Omnisis,Join,45
2022-12-16,Omnisis,Stay out,32
2022-12-16,Omnisis,no answer / don't know,23
2022-12-15,YouGov,Join,47
2022-12-15,YouGov,Stay out,34
2022-12-15,YouGov,no answer / don't know,19
2022-12-15,YouGov,Join,44
2022-12-15,YouGov,Stay out,34
2022-12-15,YouGov,no answer / don't know,22
2022-12-12,Kantar,Join,37
2022-12-12,Kantar,Stay out,27
2022-12-12,Kantar,no answer / don't know,36
2022-12-09,Omnisis,Join,44
2022-12-09,Omnisis,Stay out,34
2022-12-09,Omnisis,no answer / don't know,22
2022-12-08,Redfield & Wilton,Join,52
2022-12-08,Redfield & Wilton,Stay out,41
2022-12-08,Redfield & Wilton,no answer / don't know,7
2022-12-02,Omnisis,Join,45
2022-12-02,Omnisis,Stay out,33
2022-12-02,Omnisis,no answer / don't know,22
2022-12-01,BMG Research,Join,45
2022-12-01,BMG Research,Stay out,41
2022-12-01,BMG Research,no answer / don't know,14
2022-11-24,Omnisis,Join,49
2022-11-24,Omnisis,Stay out,37
2022-11-24,Omnisis,no answer / don't know,14
2022-11-19,Deltapoll,Join,48
2022-11-19,Deltapoll,Stay out,38
2022-11-19,Deltapoll,no answer / don't know,14
2022-11-18,Omnisis,Join,53
2022-11-18,Omnisis,Stay out,34
2022-11-18,Omnisis,no answer / don't know,13
2022-11-15,YouGov,Join,48
2022-11-15,YouGov,Stay out,33
2022-11-15,YouGov,no answer / don't know,19
2022-11-11,Omnisis,Join,48
2022-11-11,Omnisis,Stay out,37
2022-11-11,Omnisis,no answer / don't know,15
2022-11-04,Omnisis,Join,48
2022-11-04,Omnisis,Stay out,35
2022-11-04,Omnisis,no answer / don't know,17
2022-10-28,Omnisis,Join,51
2022-10-28,Omnisis,Stay out,35
2022-10-28,Omnisis,no answer / don't know,14
2022-10-26,BMG Research,Join,42
2022-10-26,BMG Research,Stay out,39
2022-10-26,BMG Research,no answer / don't know,19
2022-10-22,Omnisis,Join,50
2022-10-22,Omnisis,Stay out,32
2022-10-22,Omnisis,no answer / don't know,18
2022-10-21,Deltapoll,Join,49
2022-10-21,Deltapoll,Stay out,36
2022-10-21,Deltapoll,no answer / don't know,15
2022-10-20,Omnisis,Join,49
2022-10-20,Omnisis,Stay out,37
2022-10-20,Omnisis,no answer / don't know,14
2022-10-19,Redfield & Wilton,Join,52
2022-10-19,Redfield & Wilton,Stay out,39
2022-10-19,Redfield & Wilton,no answer / don't know,9
2022-10-18,YouGov,Join,46
2022-10-18,YouGov,Stay out,35
2022-10-18,YouGov,no answer / don't know,19
2022-10-14,Omnisis,Join,51
2022-10-14,Omnisis,Stay out,35
2022-10-14,Omnisis,no answer / don't know,14
2022-10-12,People Polling,Join,41
2022-10-12,People Polling,Stay out,32
2022-10-12,People Polling,no answer / don't know,27
2022-10-07,Deltapoll,Join,45
2022-10-07,Deltapoll,Stay out,41
2022-10-07,Deltapoll,no answer / don't know,14
2022-10-07,Omnisis,Join,47
2022-10-07,Omnisis,Stay out,33
2022-10-07,Omnisis,no answer / don't know,20
2022-09-30,Omnisis,Join,42
2022-09-30,Omnisis,Stay out,36
2022-09-30,Omnisis,no answer / don't know,22
2022-09-29,Deltapoll,Join,46
2022-09-29,Deltapoll,Stay out,39
2022-09-29,Deltapoll,no answer / don't know,15
2022-09-29,BMG Research,Join,44
2022-09-29,BMG Research,Stay out,39
2022-09-29,BMG Research,no answer / don't know,17
2022-09-26,Omnisis,Join,49
2022-09-26,Omnisis,Stay out,31
2022-09-26,Omnisis,no answer / don't know,20
2022-09-22,YouGov,Join,46
2022-09-22,YouGov,Stay out,36
2022-09-22,YouGov,no answer / don't know,18
2022-09-02,Deltapoll,Join,45
2022-09-02,Deltapoll,Stay out,39
2022-09-02,Deltapoll,no answer / don't know,16
2022-08-19,Redfield & Wilton,Join,49
2022-08-19,Redfield & Wilton,Stay out,42
2022-08-19,Redfield & Wilton,no answer / don't know,9
2022-08-18,BMG Research,Join,44
2022-08-18,BMG Research,Stay out,41
2022-08-18,BMG Research,no answer / don't know,15
2022-08-05,YouGov,Join,45
2022-08-05,YouGov,Stay out,37
2022-08-05,YouGov,no answer / don't know,18
2022-07-28,BMG Research,Join,46
2022-07-28,BMG Research,Stay out,41
2022-07-28,BMG Research,no answer / don't know,13
2022-07-23,Deltapoll,Join,45
2022-07-23,Deltapoll,Stay out,39
2022-07-23,Deltapoll,no answer / don't know,16
2022-07-11,YouGov,Join,45
2022-07-11,YouGov,Stay out,38
2022-07-11,YouGov,no answer / don't know,17
2022-07-01,BMG Research,Join,44
2022-07-01,BMG Research,Stay out,40
2022-07-01,BMG Research,no answer / don't know,16
2022-06-20,Redfield & Wilton,Join,48
2022-06-20,Redfield & Wilton,Stay out,43
2022-06-20,Redfield & Wilton,no answer / don't know,9
2022-06-20,Kantar,Join,35
2022-06-20,Kantar,Stay out,34
2022-06-20,Kantar,no answer / don't know,31
2022-06-10,YouGov,Join,45
2022-06-10,YouGov,Stay out,36
2022-06-10,YouGov,no answer / don't know,19
2022-05-17,YouGov,Join,41
2022-05-17,YouGov,Stay out,38
2022-05-17,YouGov,no answer / don't know,21
2022-05-12,TechneUK,Join,33
2022-05-12,TechneUK,Stay out,34
2022-05-12,TechneUK,no answer / don't know,33
2022-04-19,Redfield & Wilton,Join,45
2022-04-19,Redfield & Wilton,Stay out,47
2022-04-19,Redfield & Wilton,no answer / don't know,8
2022-04-14,Deltapoll,Join,47
2022-04-14,Deltapoll,Stay out,40
2022-04-14,Deltapoll,no answer / don't know,13
2022-04-11,YouGov,Join,43
2022-04-11,YouGov,Stay out,38
2022-04-11,YouGov,no answer / don't know,19
2022-03-17,YouGov,Join,43
2022-03-17,YouGov,Stay out,35
2022-03-17,YouGov,no answer / don't know,22
2022-02-20,Redfield & Wilton,Join,41
2022-02-20,Redfield & Wilton,Stay out,50
2022-02-20,Redfield & Wilton,no answer / don't know,9
2022-02-11,YouGov,Join,44
2022-02-11,YouGov,Stay out,36
2022-02-11,YouGov,no answer / don't know,20
2022-01-18,YouGov,Join,42
2022-01-18,YouGov,Stay out,39
2022-01-18,YouGov,no answer / don't know,19
2021-12-23,Opinium,Join,41
2021-12-23,Opinium,Stay out,42
2021-12-23,Opinium,no answer / don't know,17
2021-12-13,Kantar,Join,36
2021-12-13,Kantar,Stay out,33
2021-12-13,Kantar,no answer / don't know,31
2021-12-03,YouGov,Join,45
2021-12-03,YouGov,Stay out,37
2021-12-03,YouGov,no answer / don't know,18
2021-11-22,Kantar,Join,34
2021-11-22,Kantar,Stay out,32
2021-11-22,Kantar,no answer / don't know,34
2021-11-17,YouGov,Join,44
2021-11-17,YouGov,Stay out,39
2021-11-17,YouGov,no answer / don't know,17
2021-11-09,Redfield & Wilton,Join,44
2021-11-09,Redfield & Wilton,Stay out,50
2021-11-09,Redfield & Wilton,no answer / don't know,6
2021-10-18,Kantar,Join,34
2021-10-18,Kantar,Stay out,35
2021-10-18,Kantar,no answer / don't know,31
2021-10-15,Opinium,Join,43
2021-10-15,Opinium,Stay out,42
2021-10-15,Opinium,no answer / don't know,15
2021-10-13,YouGov,Join,41
2021-10-13,YouGov,Stay out,37
2021-10-13,YouGov,no answer / don't know,22
2021-09-27,Kantar,Join,33
2021-09-27,Kantar,Stay out,33
2021-09-27,Kantar,no answer / don't know,34
2021-09-16,YouGov,Join,41
2021-09-16,YouGov,Stay out,39
2021-09-16,YouGov,no answer / don't know,20
2021-08-23,Kantar,Join,33
2021-08-23,Kantar,Stay out,34
2021-08-23,Kantar,no answer / don't know,33
2021-08-13,YouGov,Join,41
2021-08-13,YouGov,Stay out,41
2021-08-13,YouGov,no answer / don't know,18
2021-07-21,YouGov,Join,39
2021-07-21,YouGov,Stay out,41
2021-07-21,YouGov,no answer / don't know,20
2021-07-12,Kantar,Join,33
2021-07-12,Kantar,Stay out,38
2021-07-12,Kantar,no answer / don't know,29
2021-06-23,YouGov,Join,39
2021-06-23,YouGov,Stay out,41
2021-06-23,YouGov,no answer / don't know,20
2021-06-07,Kantar,Join,31
2021-06-07,Kantar,Stay out,38
2021-06-07,Kantar,no answer / don't know,31
2021-05-25,YouGov,Join,39
2021-05-25,YouGov,Stay out,44
2021-05-25,YouGov,no answer / don't know,17
2021-04-26,Kantar,Join,31
2021-04-26,Kantar,Stay out,37
2021-04-26,Kantar,no answer / don't know,32
2021-04-22,YouGov,Join,38
2021-04-22,YouGov,Stay out,43
2021-04-22,YouGov,no answer / don't know,19
2021-04-08,JL Partners,Join,39
2021-04-08,JL Partners,Stay out,46
2021-04-08,JL Partners,no answer / don't know,15
2021-03-29,Kantar,Join,32
2021-03-29,Kantar,Stay out,38
2021-03-29,Kantar,no answer / don't know,30
2021-03-19,BMG Research,Join,43
2021-03-19,BMG Research,Stay out,49
2021-03-19,BMG Research,no answer / don't know,8
2021-03-16,YouGov,Join,40
2021-03-16,YouGov,Stay out,41
2021-03-16,YouGov,no answer / don't know,19
2021-02-22,Kantar,Join,33
2021-02-22,Kantar,Stay out,33
2021-02-22,Kantar,no answer / don't know,34
2021-02-17,YouGov,Join,39
2021-02-17,YouGov,Stay out,41
2021-02-17,YouGov,no answer / don't know,20
2021-01-25,Kantar,Join,34
2021-01-25,Kantar,Stay out,37
2021-01-25,Kantar,no answer / don't know,29
2021-01-19,YouGov,Join,42
2021-01-19,YouGov,Stay out,40
2021-01-19,YouGov,no answer / don't know,18
2020-12-14,Kantar,Join,32
2020-12-14,Kantar,Stay out,34
2020-12-14,Kantar,no answer / don't know,34
2020-11-09,Kantar,Join,37
2020-11-09,Kantar,Stay out,33
2020-11-09,Kantar,no answer / don't know,30
2020-09-21,Kantar,Join,31
2020-09-21,Kantar,Stay out,38
2020-09-21,Kantar,no answer / don't know,31
2020-08-10,Kantar,Join,37
2020-08-10,Kantar,Stay out,33
2020-08-10,Kantar,no answer / don't know,30
2020-07-13,Kantar,Join,33
2020-07-13,Kantar,Stay out,39
2020-07-13,Kantar,no answer / don't know,28
2020-04-09,BMG Research,Join,43
2020-04-09,BMG Research,Stay out,47
2020-04-09,BMG Research,no answer / don't know,10
2020-03-06,BMG Research,Join,40
2020-03-06,BMG Research,Stay out,48
2020-03-06,BMG Research,no answer / don't know,12
2020-02-07,BMG Research,Join,42
2020-02-07,BMG Research,Stay out,46
2020-02-07,BMG Research,no answer / don't know,12
