table,category,shortDesc,description
ageSex,m55,m55,male age 55
ageSex,m56,m56,male age 56
ageSex,m57,m57,male age 57
ageSex,m58,m58,male age 58
ageSex,m59,m59,male age 59
ageSex,m60,m60,male age 60
ageSex,m61,m61,male age 61
ageSex,m62,m62,male age 62
ageSex,m63,m63,male age 63
ageSex,m64,m64,male age 64
ageSex,m65,m65,male age 65
ageSex,m66,m66,male age 66
ageSex,m67,m67,male age 67
ageSex,m68,m68,male age 68
ageSex,m69,m69,male age 69
ageSex,m70,m70,male age 70
ageSex,m71,m71,male age 71
ageSex,m72,m72,male age 72
ageSex,m73,m73,male age 73
ageSex,m74,m74,male age 74
ageSex,m75,m75,male age 75
ageSex,m76,m76,male age 76
ageSex,m77,m77,male age 77
ageSex,m78,m78,male age 78
ageSex,m79,m79,male age 79
ageSex,m80,m80,male age 80
ageSex,m81,m81,male age 81
ageSex,m82,m82,male age 82
ageSex,m83,m83,male age 83
ageSex,m84,m84,male age 84
ageSex,m85,m85,male age 85
ageSex,m86,m86,male age 86
ageSex,m87,m87,male age 87
ageSex,m88,m88,male age 88
ageSex,m89,m89,male age 89
ageSex,m90,m90,male age 90
ageSex,m91,m91,male age 91
ageSex,m92,m92,male age 92
ageSex,m93,m93,male age 93
ageSex,m94,m94,male age 94
ageSex,m95,m95,male age 95
ageSex,m96,m96,male age 96
ageSex,m97,m97,male age 97
ageSex,m98,m98,male age 98
ageSex,m99,m99,male age 99
ageSex,m100,m100,male age 10
pop,pop,population,population
popDensity,popDensity,popDensity,population density
households,households,households,Number of households
householdSize,0,h0,household with 0 residents
householdSize,1,h1,household with 1 resident
householdSize,2,h2,household with 2 residents
householdSize,3,h3,household with 3 residents
householdSize,4,h4,household with 4 residents
householdSize,5,h5,household with 5 residents
householdSize,6,h6,household with 6 residents
householdSize,7,h7,household with 7 residents
householdSize,8,h8plus,household with 8 or more residents
householdComposition,-8,N/A,Does not apply
householdComposition,1,oneOver66,One-person household: Aged 66 years and over
householdComposition,2,oneOther,One-person household: Other
householdComposition,3,familyOver66,Single family household: All aged 66 years and over
householdComposition,4,marriedNoChild,Single family household: Married or civil partnership couple: No children
householdComposition,5,marriedDepChild,Single family household: Married or civil partnership couple: Dependent children
householdComposition,6,marriedNonDepChild,Single family household: Married or civil partnership couple: All children non-dependent
householdComposition,7,cohabNoChild,Single family household: Cohabiting couple family: No children
householdComposition,8,cohabDepChild,Single family household: Cohabiting couple family: With dependent children
householdComposition,9,cohabNonDepChild,Single family household: Cohabiting couple family: All children non-dependent
householdComposition,10,loneDepChild,Single family household: Lone parent family: With dependent children
householdComposition,11,loneNonDepChild,Single family household: Lone parent family: All children non-dependent
householdComposition,12,familyOther,Single family household: Other single family household: Other family composition
householdComposition,13,otherDepChild,Other household types: With dependent children
householdComposition,14,other,Other household types: Other including all full-time students and all aged 66 years and over
communal,household,household,Number of residents in households
communal,communal,communal,Number of residents in communal establishments
deprivation,-8,N/A,Does not apply
deprivation,1,dep0,Household is not deprived in any dimension
deprivation,2,dep1,Household is deprived in one dimension
deprivation,3,dep2,Household is deprived in two dimensions
deprivation,4,dep3,Household is deprived in three dimensions
deprivation,5,dep4,Household is deprived in four dimensions
living,-8,N/A,Does not apply
living,1,marriedCoupleOp,Living in an opposite-sex couple: Married or in a civil partnership
living,2,marriedCoupleSame,Living in a same-sex couple: Married or in a civil partnership
living,3,sepMarriedCouple,"Living in a couple: Separated, but still married or in a civil partnership"
living,4,cohabCoupleOp,Living in an opposite-sex couple: Cohabiting
living,5,cohabCoupleSame,Living in a same-sex couple: Cohabiting
living,6,single,Not living in a couple: Single (never married and never registered a same-sex civil partnership)
living,7,marriedOwn,Not living in a couple: Married or in a registered civil partnership
living,8,sepOwn,Not living in a couple: Separated (including those who are married and those who are in civil partnerships)
living,9,divorcedOwn,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved
living,10,widowedOwn,Not living in a couple: Widowed or surviving partner from a civil partnership
partnership,-8,N/A,Does not apply
partnership,1,single,Never married and never registered a civil partnership
partnership,2,marriedOp,Married: Opposite sex
partnership,3,marriedSame,Married: Same sex
partnership,4,cpOp,In a registered civil partnership: Opposite sex
partnership,5,cpSame,In a registered civil partnership: Same sex
partnership,6,sepMarried,Separated but still married
partnership,7,sepCp,Separated but still in a registered civil partnership
partnership,8,divorced,Divorced
partnership,9,divorcedCp,Formerly in a civil partnership now legally dissolved
partnership,10,widowed,Widowed
partnership,11,widowedCp,Surviving partner from civil partnership
sex,Female,female,female
sex,Male,male,male
qualification,-8,N/A,Does not apply
qualification,0,none,No qualifications
qualification,1,level1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C , Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills"
qualification,2,level2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma"
qualification,3,apprentice,Apprenticeship
qualification,4,level3,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma"
qualification,5,level4,"Level 4 qualifications and above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)"
qualification,6,other,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)"
students,-8,N/A,Does not apply
students,1,student,Student
students,2,notStudent,Not a student
ethnicGroup,-8,N/A,Does not apply
ethnicGroup,1,ABBangladeshi,"Asian, Asian British or Asian Welsh: Bangladeshi"
ethnicGroup,2,ABChinese,"Asian, Asian British or Asian Welsh: Chinese"
ethnicGroup,3,ABIndian,"Asian, Asian British or Asian Welsh: Indian"
ethnicGroup,4,ABPakistani,"Asian, Asian British or Asian Welsh: Pakistani"
ethnicGroup,5,ABAsian,"Asian, Asian British or Asian Welsh: Other Asian"
ethnicGroup,6,BBAfrican,"Black, Black British, Black Welsh, Caribbean or African: African"
ethnicGroup,7,BBCaribbean,"Black, Black British, Black Welsh, Caribbean or African: Caribbean"
ethnicGroup,8,BBBlack,"Black, Black British, Black Welsh, Caribbean or African: Other Black"
ethnicGroup,9,whiteAndAsian,Mixed or Multiple ethnic groups: White and Asian
ethnicGroup,10,whiteAndBlackAfrican,Mixed or Multiple ethnic groups: White and Black African
ethnicGroup,11,whiteAndBlackCaribbean,Mixed or Multiple ethnic groups: White and Black Caribbean
ethnicGroup,12,multiple,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
ethnicGroup,13,wBritish,"White: English, Welsh, Scottish, Northern Irish or British"
ethnicGroup,14,wIrish,White: Irish
ethnicGroup,15,wTraveller,White: Gypsy or Irish Traveller
ethnicGroup,16,wRoma,White: Roma
ethnicGroup,17,wOther,White: Other White
ethnicGroup,18,arab,Other ethnic group: Arab
ethnicGroup,19,other,Other ethnic group: Any other ethnic group
ethnicGroupDetailed,-8,N/A,Does not apply
ethnicGroupDetailed,1,A1,Asian Asian British or Asian Welsh: Afghan
ethnicGroupDetailed,2,A2,Asian Asian British or Asian Welsh: African unspecified
ethnicGroupDetailed,3,A3,Asian Asian British or Asian Welsh: African Asian
ethnicGroupDetailed,4,A4,Asian Asian British or Asian Welsh: Anglo Indian
ethnicGroupDetailed,5,A5,Asian Asian British or Asian Welsh: Arab
ethnicGroupDetailed,6,A6,Asian Asian British or Asian Welsh: Asian British
ethnicGroupDetailed,7,A7,Asian Asian British or Asian Welsh: Bangladeshi British Bangladeshi
ethnicGroupDetailed,8,A8,Asian Asian British or Asian Welsh: Black and Asian
ethnicGroupDetailed,9,A9,Asian Asian British or Asian Welsh: Chinese
ethnicGroupDetailed,10,A10,Asian Asian British or Asian Welsh: English/Welsh/Scottish/Northern Irish/British
ethnicGroupDetailed,11,A11,Asian Asian British or Asian Welsh: Filipino
ethnicGroupDetailed,12,A12,Asian Asian British or Asian Welsh: Indian or British Indian
ethnicGroupDetailed,13,A13,Asian Asian British or Asian Welsh: Indonesian
ethnicGroupDetailed,14,A14,Asian Asian British or Asian Welsh: Iranian
ethnicGroupDetailed,15,A15,Asian Asian British or Asian Welsh: Japanese
ethnicGroupDetailed,16,A16,Asian Asian British or Asian Welsh: Kashmiri
ethnicGroupDetailed,17,A17,Asian Asian British or Asian Welsh: Korean
ethnicGroupDetailed,18,A18,Asian Asian British or Asian Welsh: Kurdish
ethnicGroupDetailed,19,A19,Asian Asian British or Asian Welsh: Malaysian
ethnicGroupDetailed,20,A20,Asian Asian British or Asian Welsh: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian
ethnicGroupDetailed,21,A21,Asian Asian British or Asian Welsh: Mixed South Asian
ethnicGroupDetailed,22,A22,Asian Asian British or Asian Welsh: Myanmar or Burmese
ethnicGroupDetailed,23,A23,Asian Asian British or Asian Welsh: Nepali (includes Gurkha)
ethnicGroupDetailed,24,A24,Asian Asian British or Asian Welsh: Other Asian Asian unspecified
ethnicGroupDetailed,25,A25,Asian Asian British or Asian Welsh: Other East Asian/ East Asian unspecified
ethnicGroupDetailed,26,A26,Asian Asian British or Asian Welsh: Other Middle East
ethnicGroupDetailed,27,A27,Asian Asian British or Asian Welsh: Other Mixed
ethnicGroupDetailed,28,A28,Asian Asian British or Asian Welsh: Pakistani or British Pakistani
ethnicGroupDetailed,29,A29,Asian Asian British or Asian Welsh: Punjabi
ethnicGroupDetailed,30,A30,Asian Asian British or Asian Welsh: Sikh
ethnicGroupDetailed,31,A31,Asian Asian British or Asian Welsh: Sinhalese
ethnicGroupDetailed,32,A32,Asian Asian British or Asian Welsh: Sri Lankan
ethnicGroupDetailed,33,A33,Asian Asian British or Asian Welsh: Taiwanese
ethnicGroupDetailed,34,A34,Asian Asian British or Asian Welsh: Tajikistani/Kazakhstani/Kyrgystani/Turkmenistani/Uzbekistani
ethnicGroupDetailed,35,A35,Asian Asian British or Asian Welsh: Tamil
ethnicGroupDetailed,36,A36,Asian Asian British or Asian Welsh: Thai
ethnicGroupDetailed,37,A37,Asian Asian British or Asian Welsh: Turkish
ethnicGroupDetailed,38,A38,Asian Asian British or Asian Welsh: Vietnamese
ethnicGroupDetailed,39,A39,Asian Asian British or Asian Welsh: Any other ethnic group
ethnicGroupDetailed,40,B40,Black Black British Black Welsh of African background: African unspecified
ethnicGroupDetailed,41,B41,Black Black British Black Welsh of African background: Angolan
ethnicGroupDetailed,42,B42,Black Black British Black Welsh of African background: Arab
ethnicGroupDetailed,43,B43,Black Black British Black Welsh of African background: Black British
ethnicGroupDetailed,44,B44,Black Black British Black Welsh of African background: Cameroonian
ethnicGroupDetailed,45,B45,Black Black British Black Welsh of African background: Cote D'Ivoire
ethnicGroupDetailed,46,B46,Black Black British Black Welsh of African background: Democratic Republic of the Congo
ethnicGroupDetailed,47,B47,Black Black British Black Welsh of African background: English/Welsh/Scottish/Northern Irish/British
ethnicGroupDetailed,48,B48,Black Black British Black Welsh of African background: Eritrean
ethnicGroupDetailed,49,B49,Black Black British Black Welsh of African background: Ethiopian
ethnicGroupDetailed,50,B50,Black Black British Black Welsh of African background: Gambian
ethnicGroupDetailed,51,B51,Black Black British Black Welsh of African background: Ghanaian
ethnicGroupDetailed,52,B52,Black Black British Black Welsh of African background: Kenyan
ethnicGroupDetailed,53,B53,Black Black British Black Welsh of African background: Malawian
ethnicGroupDetailed,54,B54,Black Black British Black Welsh of African background: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian
ethnicGroupDetailed,55,B55,Black Black British Black Welsh of African background: Mixed Black
ethnicGroupDetailed,56,B56,Black Black British Black Welsh of African background: Moroccan
ethnicGroupDetailed,57,B57,Black Black British Black Welsh of African background: Nigerian
ethnicGroupDetailed,58,B58,Black Black British Black Welsh of African background: Other Black Black unspecified
ethnicGroupDetailed,59,B59,Black Black British Black Welsh of African background: Other Mixed
ethnicGroupDetailed,60,B60,Black Black British Black Welsh of African background: Other North African
ethnicGroupDetailed,61,B61,Black Black British Black Welsh of African background: Portuguese
ethnicGroupDetailed,62,B62,Black Black British Black Welsh of African background: Sierra Leone
ethnicGroupDetailed,63,B63,Black Black British Black Welsh of African background: Somali
ethnicGroupDetailed,64,B64,Black Black British Black Welsh of African background: Somalilander
ethnicGroupDetailed,65,B65,Black Black British Black Welsh of African background: South African
ethnicGroupDetailed,66,B66,Black Black British Black Welsh of African background: Sudanese
ethnicGroupDetailed,67,B67,Black Black British Black Welsh of African background: Tanzanian
ethnicGroupDetailed,68,B68,Black Black British Black Welsh of African background: Ugandan
ethnicGroupDetailed,69,B69,Black Black British Black Welsh of African background: Zambian
ethnicGroupDetailed,70,B70,Black Black British Black Welsh of African background: Zimbabwean
ethnicGroupDetailed,71,B71,Black Black British Black Welsh of African background: Any other ethnic group
ethnicGroupDetailed,72,B72,Black Black British Black Welsh or Caribbean background: African unspecified
ethnicGroupDetailed,73,B73,Black Black British Black Welsh or Caribbean background: Black and European
ethnicGroupDetailed,74,B74,Black Black British Black Welsh or Caribbean background: Black British
ethnicGroupDetailed,75,B75,Black Black British Black Welsh or Caribbean background: Black/African American
ethnicGroupDetailed,76,B76,Black Black British Black Welsh or Caribbean background: Caribbean
ethnicGroupDetailed,77,B77,Black Black British Black Welsh or Caribbean background: English/Welsh/Scottish/Northern Irish/British
ethnicGroupDetailed,78,B78,Black Black British Black Welsh or Caribbean background: Ghanaian
ethnicGroupDetailed,79,B79,Black Black British Black Welsh or Caribbean background: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian
ethnicGroupDetailed,80,B80,Black Black British Black Welsh or Caribbean background: Mixed Black
ethnicGroupDetailed,81,B81,Black Black British Black Welsh or Caribbean background: Nigerian
ethnicGroupDetailed,82,B82,Black Black British Black Welsh or Caribbean background: Other Black Black unspecified
ethnicGroupDetailed,83,B83,Black Black British Black Welsh or Caribbean background: Other Mixed
ethnicGroupDetailed,84,B84,Black Black British Black Welsh or Caribbean background: Polynesian/Micronesian/Melanesian
ethnicGroupDetailed,85,B85,Black Black British Black Welsh or Caribbean background: Somali
ethnicGroupDetailed,86,B86,Black Black British Black Welsh or Caribbean background: Any other ethnic group
ethnicGroupDetailed,87,M87,Mixed or Multiple ethnic groups: African unspecified
ethnicGroupDetailed,88,M88,Mixed or Multiple ethnic groups: African Asian
ethnicGroupDetailed,89,M89,Mixed or Multiple ethnic groups: African/Arab
ethnicGroupDetailed,90,M90,Mixed or Multiple ethnic groups: Anglo Indian
ethnicGroupDetailed,91,M91,Mixed or Multiple ethnic groups: Arab
ethnicGroupDetailed,92,M92,Mixed or Multiple ethnic groups: Asian (unspecified) and European
ethnicGroupDetailed,93,M93,Mixed or Multiple ethnic groups: Black and Asian
ethnicGroupDetailed,94,M94,Mixed or Multiple ethnic groups: Black and European
ethnicGroupDetailed,95,M95,Mixed or Multiple ethnic groups: Black and White (unspecified)
ethnicGroupDetailed,96,M96,Mixed or Multiple ethnic groups: Black British
ethnicGroupDetailed,97,M97,Mixed or Multiple ethnic groups: Brazilian
ethnicGroupDetailed,98,M98,Mixed or Multiple ethnic groups: Caribbean
ethnicGroupDetailed,99,M99,Mixed or Multiple ethnic groups: Caribbean Asian
ethnicGroupDetailed,100,M100,Mixed or Multiple ethnic groups: Chinese
ethnicGroupDetailed,101,M101,Mixed or Multiple ethnic groups: Chinese and other Asian
ethnicGroupDetailed,102,M102,Mixed or Multiple ethnic groups: Chinese and White
ethnicGroupDetailed,103,M103,Mixed or Multiple ethnic groups: English
ethnicGroupDetailed,104,M104,Mixed or Multiple ethnic groups: English/Welsh/Scottish/Northern Irish/British
ethnicGroupDetailed,105,M105,Mixed or Multiple ethnic groups: European and Black African
ethnicGroupDetailed,106,M106,Mixed or Multiple ethnic groups: European and Black Caribbean
ethnicGroupDetailed,107,M107,Mixed or Multiple ethnic groups: European and North African or Middle Eastern
ethnicGroupDetailed,108,M108,Mixed or Multiple ethnic groups: European Mixed European unspecified other European
ethnicGroupDetailed,109,M109,Mixed or Multiple ethnic groups: Greek Cypriot
ethnicGroupDetailed,110,M110,Mixed or Multiple ethnic groups: Hispanic or Latin American
ethnicGroupDetailed,111,M111,Mixed or Multiple ethnic groups: Indian or British Indian
ethnicGroupDetailed,112,M112,Mixed or Multiple ethnic groups: Iranian
ethnicGroupDetailed,113,M113,Mixed or Multiple ethnic groups: Italian
ethnicGroupDetailed,114,M114,Mixed or Multiple ethnic groups: Jewish
ethnicGroupDetailed,115,M115,Mixed or Multiple ethnic groups: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian
ethnicGroupDetailed,116,M116,Mixed or Multiple ethnic groups: Mexican
ethnicGroupDetailed,117,M117,Mixed or Multiple ethnic groups: Mixed Black
ethnicGroupDetailed,118,M118,Mixed or Multiple ethnic groups: Mixed Irish
ethnicGroupDetailed,119,M119,Mixed or Multiple ethnic groups: Mixed South Asian
ethnicGroupDetailed,120,M120,Mixed or Multiple ethnic groups: Mixed White
ethnicGroupDetailed,121,M121,Mixed or Multiple ethnic groups: Moroccan
ethnicGroupDetailed,122,M122,Mixed or Multiple ethnic groups: Other Asian Asian unspecified
ethnicGroupDetailed,123,M123,Mixed or Multiple ethnic groups: Other Middle East
ethnicGroupDetailed,124,M124,Mixed or Multiple ethnic groups: Other Mixed
ethnicGroupDetailed,125,M125,Mixed or Multiple ethnic groups: Other White White unspecified
ethnicGroupDetailed,126,M126,Mixed or Multiple ethnic groups: Pakistani or British Pakistani
ethnicGroupDetailed,127,M127,Mixed or Multiple ethnic groups: Polynesian/Micronesian/Melanesian
ethnicGroupDetailed,128,M128,Mixed or Multiple ethnic groups: Portuguese
ethnicGroupDetailed,129,M129,Mixed or Multiple ethnic groups: South African
ethnicGroupDetailed,130,M130,Mixed or Multiple ethnic groups: South American
ethnicGroupDetailed,131,M131,Mixed or Multiple ethnic groups: South Asian and European
ethnicGroupDetailed,132,M132,Mixed or Multiple ethnic groups: Spanish
ethnicGroupDetailed,133,M133,Mixed or Multiple ethnic groups: Turkish
ethnicGroupDetailed,134,M134,Mixed or Multiple ethnic groups: Turkish Cypriot
ethnicGroupDetailed,135,M135,Mixed or Multiple ethnic groups: White African
ethnicGroupDetailed,136,M136,Mixed or Multiple ethnic groups: White and Arab
ethnicGroupDetailed,137,M137,Mixed or Multiple ethnic groups: White and Asian (unspecified)
ethnicGroupDetailed,138,M138,Mixed or Multiple ethnic groups: White and Black African
ethnicGroupDetailed,139,M139,Mixed or Multiple ethnic groups: White and Black Caribbean
ethnicGroupDetailed,140,M140,Mixed or Multiple ethnic groups: White and East Asian
ethnicGroupDetailed,141,M141,Mixed or Multiple ethnic groups: White and North African or Middle Eastern
ethnicGroupDetailed,142,M142,Mixed or Multiple ethnic groups: White and South Asian
ethnicGroupDetailed,143,M143,Mixed or Multiple ethnic groups: White Caribbean
ethnicGroupDetailed,144,M144,Mixed or Multiple ethnic groups: Any other ethnic group
ethnicGroupDetailed,145,W145,White: African unspecified
ethnicGroupDetailed,146,W146,White: Albanian
ethnicGroupDetailed,147,W147,White: Algerian
ethnicGroupDetailed,148,W148,White: Arab
ethnicGroupDetailed,149,W149,White: Argentinian
ethnicGroupDetailed,150,W150,White: Armenian
ethnicGroupDetailed,151,W151,White: Australian/New Zealander
ethnicGroupDetailed,152,W152,White: Austrian
ethnicGroupDetailed,153,W153,White: Belarusian
ethnicGroupDetailed,154,W154,White: Belgian
ethnicGroupDetailed,155,W155,White: Bosnian
ethnicGroupDetailed,156,W156,White: Brazilian
ethnicGroupDetailed,157,W157,White: Bulgarian
ethnicGroupDetailed,158,W158,White: Colombian
ethnicGroupDetailed,159,W159,White: Cornish
ethnicGroupDetailed,160,W160,White: Croatian
ethnicGroupDetailed,161,W161,White: Cypriot (part not stated)
ethnicGroupDetailed,162,W162,White: Czech
ethnicGroupDetailed,163,W163,White: Danish
ethnicGroupDetailed,164,W164,White: Dutch
ethnicGroupDetailed,165,W165,White: English Welsh Scottish Northern Irish or British
ethnicGroupDetailed,166,W166,White: Estonian
ethnicGroupDetailed,167,W167,White: European Mixed
ethnicGroupDetailed,168,W168,White: Finnish
ethnicGroupDetailed,169,W169,White: French
